QUESTION	LEVEL	CORRECT ANSWER	WRONG 1	WRONG 2	WRONG 3
Đảo nào của Việt Nam to nhất ở Vịnh Thái Lan ?	Trung bình	Đảo Phú Quốc	Đảo Thổ Chu	Côn Đảo	Hòn Khoai
Quốc gia nào có diện tích đất liền to nhất thế giới ?	Dễ	Liên Bang Nga	Trung Quốc	Mỹ	Canada
Việt Nam nằm ở khu vực nào của châu Á ?	Dễ	Đông Nam Á	Đông Á	Nam Á	Trung Á
Sông nào dài nhất Việt Nam ?	Trung bình	Sông Hồng 	Sông Hậu	Sông Tiền	Sông Đồng Nai
Nơi nào ở Việt Nam có hệ thống kênh rạch chằn chịt ?	Trung bình	Đông Bằng Sông Cửu Long	Đồng Bằng Sông Hồng	Khu Vực Thanh Hóa Nghệ An	Khu Vực Phan Thiết, Khánh Hòa
Hành Tinh nào được mệnh danh là Hành Tinh Đỏ ?	Trung bình	Hỏa Tinh	Mộc Tinh	Kim Tinh	Trái Đất
Ký hiệu O trong bảng tuần hoàn hóa học, thể hiện cho ?	Trung bình	Oxy	Ozone	Omega	Oto
Ký hiệu H trong bảng tuần hoàn hóa học, thể hiện cho ?	Trung bình	Hydro	Heli	Hehe	Hama
Học thuyết Tiến Hóa do ai biên soạn ?	Trung bình	Charles Darwin	Issac Newton	Albert Einstein 	Neil Bohr
Con người hít vào khí Oxy và thở ra khí gì ?	Trung bình	Khí Carbon Dioxide (CO2)	Khí Hydro Sulfide (H2S) 	Khí Hydro Cyanide (HCN)	Khí  Metan (CH4)
Quốc gia Châu Á nào sau đây không còn chế độ quân chủ-vua đứng đầu nhà nước?	Trung bình	Trung Quốc	Nhật Bản	Thái Lan	Arab Saudi
Tỉnh thành nào sau đây của Việt Nam giáp biển ?	Trung bình	Khánh Hòa	Hậu Giang	Lâm Đồng	Hà Giang
Hà Nội từng có tên gọi giống với thành phố nào sau đây ?	Khó	Đông Kinh (Tokyo) - Nhật Bản	Bắc Kinh - Trung Quốc	Nam Kinh - Trung Quốc	Tây Kinh (Saikyou | Kyoto) - Nhật Bản
Loài động vật có vú nào lớn nhất địa cầu ? 	Trung bình	Cá Nhà Táng - Cá Voi	Voi	Tê Giác	Cá Mập Trắng
Vị thánh thần nào không thuộc về tính ngưỡng dân gian Việt Nam ?	Trung bình	Nữ Oa	Tản Viên Sơn Thánh	Thánh Gióng	Thánh Mẫu Liễu Hạnh
Đèn tín hiệu giao thông dùng cho việc gì ?	Trung bình	Điều phối lượng xe trên đường và hỗ trợ người qua đường	Để không cho xe chạy	Để trang trí	Để bảo vệ người đi đường
Phương tiện công cộng bao gồm những phương tiện nào ?	Trung bình	Xe ôm, xe bus, xe taxi và tàu hỏa	Xe quân đội, xe cứu hỏa, xe cứu thương	Xe gắn máy, xe hơi, xe tải	Xe đạp, xe điện
Thành thị là khu vực như thế nào?	Khó	Là nơi có mật độ dân số cao, có nhiều thương điểm và các ngành dịch vụ	Là nơi có mật độ dân số thấp, có nhiều thương điểm và các ngành dịch vụ	Là nơi có mật độ dân số cao, có ít thương điểm và các ngành dịch vụ	Là nơi có mật độ dân số thấp, có ít thương điểm và các ngành dịch vụ
Bùng binh là gì ?	Khó	Là một nút giao điểm của đường có hình tròn, phương tiện đi vào phải di chuyển theo hướng ngược kim đồng hồ	Là một nút giao điểm của đường có hình tròn, phương tiện đi vào phải di chuyển theo hướng chiều kim đồng hồ	Là một dạng ngã tư không có đèn giao thông	Là một nút giao điểm của đường có hình tròn, phương tiện đi vào có thể di chuyển theo hướng tùy ý
Tín hiệu vàng trên đèn giao thông có ý nghĩa là gì ?	Khó	Tín hiệu báo chuẩn bị dừng trước vạch dừng 	Tín hiệu báo phương tiện tăng tốc đi nhanh qua vạch dừng	Tí hiệu báo phương tiện được phép đi tiếp	Tín hiệu báo phương tiện phải dừng xe 
Yếu tố lớn nhất gây ra ô nhiễm ở thành thị là gì ?	Khó	Lượng xe lớn gây ồn và ô nhiễm không khí	Nguồn nước bị ô nhiễm	Không có cây xanh	Rác thải và cống xã
Vì sao có hiện tượng ngập lụt ở đường xá thành thị ?	Khó	Do mưa và thủy triều	Do lượng xe đông	Do lãng phí nước 	Do không đủ cây
Vì sao lại xây nhà cao tầng ?	Khó	Vì để xử lý vấn đề quá tải dân số trong thành thị	Vì muốn thành phố đẹp hơn	Vì muốn được nhìn thành phố từ trên cao	Vì muốn chứng mình có thể xây nhà cao hơn cây cổ thụ
Ở Anh Quốc, mọi người tham gia giao thông phải đi bên làn xe nào ?	Khó	Làn bên trái	Làn bên phải	Cả hai làn	Làn nào tùy ý
Đô thị cổ nhất Việt Nam nằm ở đâu ?	Khó	Hà Nội	Ninh Bình	Thanh Hóa	Thừa Thiên - Huế
Vì sao thành thị đông dân hơn nông thôn ?	Khó	Vì cơ sở vật chất tốt hơn và dễ phát triển kinh tế hơn	Vì thành thị lớn hơn nông thôn	Vì thành thị tồn tại lâu hơn nông thôn 	Vì thành thị ít cây hơn nông thôn 
Vỉa hè dùng để làm gì ?	Khó	Phục vụ cho người đi bộ	Phục vụ cho việc đỗ xe máy, xe hơi	Phục vụ cho việc bán hàng rong	Phục vụ cho việc trồng hoa lá, và cây xanh
Mũ bảo hiểm dùng cho việc gì ?	Trung bình	Bảo vệ phần đầu khỏi bị tổn thương nếu xảy ra tai nạn	Để không bị nắng làm cháy tóc	Để đội cho đẹp	Để không bị phạt bởi cảnh sát giao thông
Xe nào vẫn được đi khi đèn đỏ	Khó	Xe ưu tiên và xe được phép rẽ phải	Xe ưu tiên và xe được phép rẽ trái	Xe công cộng và xe điện 	Xe đạp và xe được phép rẽ phải
Phương tiện ưu tiên bao gồm những xe gì ?	Trung bình	Xe quân đội, xe cứu hỏa, xe cứu thương và xe cứu trợ khẩn cấp	Xe buýt, xe ôm, xe taxi 	Xe điện, xe đạp, xe xích lô	Xe máy, xe tải, xe rồng phụng
Cầu xoay ở Việt Nam nằm ở thành phố nào ?	Khó	Đà Nẵng	Cần Thơ	Thành Phố Hồ Chí Minh	Hà Nội
Sông lớn nào ở miền Bắc Việt Nam có hướng dòng chảy khác với các sông lớn còn lại	Trung bình	Sông Đà 	Sông Hồng	Sông Mã	Sông Lô
Chiến tranh thế giới thứ II kết thúc vào năm nào ?	Trung bình	1945	1940	1975	1930
There … a small chair over there.	English	is	are	was	were
He … breakfast at 6am everyday.	English	eats	eat	ate	eaten
Her legs ... last week.	English	were broken	break	broke	was broken
My mom … me to school at exact … every morning.	English	sends/half past six	send/6:30am	is sending/thirty six 	send/six thirty
One motel room … at least two ….	English	has/beds	have/beds	had/bed	is having/bed
Fishes in the tank swim …	English	ethusiastically 	ethusiastic	ethusiasism 	enthusing
The black cat in front of me right now … a scholar hat on its head	English	is wearing 	wears	wear	are wearing
I fell off the stool … one of its leg … broken 	English	because/was	because of/is	due to/was	despite/is
The clock stopped working because it was…battery.	English	out of 	off	in of	empty
Thang is … to tic tac toe game	English	addicted 	addicting 	addiction	addict
Mrs. Vinh seemed to be very … when I was unable to answer all of her questions ….	English	angry/correctly	happy/wrongly	angry/wrongly	happy/correctly
Find the wrong word in this sentence: The cat no longer has the scholar hat on its head, it looks at me ambiguous and speaks to me with the meow sound, instead of the human sound.	English	ambiguous	has	instead of	speaks
